Index,Red,Green,Blue
0,0,0,0
1,5,0,11
2,11,0,22
3,17,0,34
4,22,0,45
5,28,0,56
6,34,0,68
7,39,0,79
8,45,0,90
9,51,0,102
10,56,0,113
11,62,0,124
12,68,0,136
13,73,0,147
14,79,0,158
15,85,0,170
16,79,0,164
17,74,0,159
18,69,0,154
19,63,0,148
20,58,0,143
21,53,0,138
22,47,0,132
23,42,0,127
24,37,0,122
25,31,0,116
26,26,0,111
27,21,0,106
28,15,0,100
29,10,0,95
30,5,0,90
31,0,0,85
32,0,0,90
33,0,0,95
34,0,0,100
35,0,0,106
36,0,0,111
37,0,0,116
38,0,0,122
39,0,0,127
40,0,0,132
41,0,0,138
42,0,0,143
43,0,0,148
44,0,0,154
45,0,0,159
46,0,0,164
47,0,0,170
48,0,0,175
49,0,0,180
50,0,0,185
51,0,0,191
52,0,0,196
53,0,0,201
54,0,0,207
55,0,0,212
56,0,0,217
57,0,0,223
58,0,0,228
59,0,0,233
60,0,0,239
61,0,0,244
62,0,0,249
63,0,0,255
64,0,5,255
65,0,10,255
66,0,15,255
67,0,21,255
68,0,26,255
69,0,31,255
70,0,37,255
71,0,42,255
72,0,47,255
73,0,53,255
74,0,58,255
75,0,63,255
76,0,69,255
77,0,74,255
78,0,79,255
79,0,85,255
80,0,90,249
81,0,95,244
82,0,100,239
83,0,106,233
84,0,111,228
85,0,116,223
86,0,122,217
87,0,127,212
88,0,132,207
89,0,138,201
90,0,143,196
91,0,148,191
92,0,154,185
93,0,159,180
94,0,164,175
95,0,170,170
96,0,175,170
97,0,180,170
98,0,185,170
99,0,191,170
100,0,196,170
101,0,201,170
102,0,207,170
103,0,212,170
104,0,217,170
105,0,223,170
106,0,228,170
107,0,233,170
108,0,239,170
109,0,244,170
110,0,249,170
111,0,255,170
112,0,255,159
113,0,255,148
114,0,255,138
115,0,255,127
116,0,255,116
117,0,255,106
118,0,255,95
119,0,255,85
120,0,255,74
121,0,255,63
122,0,255,53
123,0,255,42
124,0,255,31
125,0,255,21
126,0,255,10
127,0,255,0
128,5,255,5
129,10,255,10
130,15,255,15
131,21,255,21
132,26,255,26
133,31,255,31
134,37,255,37
135,42,255,42
136,47,255,47
137,53,255,53
138,58,255,58
139,63,255,63
140,69,255,69
141,74,255,74
142,79,255,79
143,85,255,85
144,95,255,79
145,106,255,74
146,116,255,69
147,127,255,63
148,138,255,58
149,148,255,53
150,159,255,47
151,170,255,42
152,180,255,37
153,191,255,31
154,201,255,26
155,212,255,21
156,223,255,15
157,233,255,10
158,244,255,5
159,255,255,0
160,255,249,0
161,255,244,0
162,255,239,0
163,255,233,0
164,255,228,0
165,255,223,0
166,255,217,0
167,255,212,0
168,255,207,0
169,255,201,0
170,255,196,0
171,255,191,0
172,255,185,0
173,255,180,0
174,255,175,0
175,255,170,0
176,255,164,0
177,255,159,0
178,255,154,0
179,255,148,0
180,255,143,0
181,255,138,0
182,255,132,0
183,255,127,0
184,255,122,0
185,255,116,0
186,255,111,0
187,255,106,0
188,255,100,0
189,255,95,0
190,255,90,0
191,255,85,0
192,255,81,0
193,255,78,0
194,255,75,0
195,255,71,0
196,255,68,0
197,255,65,0
198,255,62,0
199,255,58,0
200,255,55,0
201,255,52,0
202,255,49,0
203,255,45,0
204,255,42,0
205,255,39,0
206,255,35,0
207,255,32,0
208,255,29,0
209,255,26,0
210,255,22,0
211,255,19,0
212,255,16,0
213,255,13,0
214,255,9,0
215,255,6,0
216,255,3,0
217,255,0,0
218,252,0,0
219,250,0,0
220,248,0,0
221,246,0,0
222,243,0,0
223,241,0,0
224,239,0,0
225,237,0,0
226,234,0,0
227,232,0,0
228,230,0,0
229,228,0,0
230,225,0,0
231,223,0,0
232,221,0,0
233,219,0,0
234,216,0,0
235,214,0,0
236,212,0,0
237,210,0,0
238,208,0,0
239,205,0,0
240,203,0,0
241,201,0,0
242,199,0,0
243,196,0,0
244,194,0,0
245,192,0,0
246,190,0,0
247,187,0,0
248,185,0,0
249,183,0,0
250,181,0,0
251,178,0,0
252,176,0,0
253,174,0,0
254,173,0,0
255,0,0,0
